source_record_id,douyin_post_id,author,author_is_post_author,comment_text,relative_time,ip_location,like_count,author_interaction,expanded_reply_marker,source_start_line,source_end_line,source_block_text,parse_confidence,parse_notes
comment_000001,,瓜瓜,false,两大一小预算多少,2月前,安徽,0,,,3,6,"瓜瓜
两大一小预算多少
2月前·安徽
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000002,,一路长庄,false,下个月就要去神户住几天，考虑下是不是要去福井。。。。,1月前,上海,2,,,10,14,"一路长庄头像
一路长庄
下个月就要去神户住几天，考虑下是不是要去福井。。。。
1月前·上海
2",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000003,,岁月静好,false,JR 西日本 PR 福井小众游超赞,2月前,福建,0,,,18,22,"岁月静好头像
岁月静好
JR 西日本 PR 福井小众游超赞
2月前·福建
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000004,,liiii,false,原则上福井不太能算关西 更北陆,1周前,北京,0,,,26,30,"liiii头像
liiii
原则上福井不太能算关西 更北陆
1周前·北京
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000005,,小喵咪咪,false,一乘谷遗址氛围感拉满，历史感十足,2月前,江西,0,,,34,38,"小喵咪咪头像
小喵咪咪
一乘谷遗址氛围感拉满，历史感十足
2月前·江西
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000006,,蒸上,false,禅修体验超静心，洗涤心灵的旅程,2月前,山东,0,,,42,46,"蒸上头像
蒸上
禅修体验超静心，洗涤心灵的旅程
2月前·山东
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000007,,悦悦,false,若狭湾夕阳垂钓 悠闲自在超放松,2月前,福建,0,,,50,54,"悦悦头像
悦悦
若狭湾夕阳垂钓 悠闲自在超放松
2月前·福建
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000008,,用户5168361492524,false,想去,2月前,河南,0,,,58,62,"用户5168361492524头像
用户5168361492524
想去
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000009,,不知名用户,false,好诡异的评论区,1月前,安徽,1,,,66,70,"不知名用户头像
不知名用户
好诡异的评论区
1月前·安徽
1",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000010,,菱喜建,false,老街慢逛超有味道，日式风情满满,2月前,河南,0,,,74,78,"菱喜建头像
菱喜建
老街慢逛超有味道，日式风情满满
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000011,,虞🐟,false,福井海边烟火大会 夏日浪漫超震撼,2月前,福建,0,,,82,86,"虞🐟头像
虞🐟
福井海边烟火大会 夏日浪漫超震撼
2月前·福建
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000012,,小鱼🐟🐟,false,小众不拥挤 深度游就选福井,2月前,河南,0,,,90,94,"小鱼🐟🐟头像
小鱼🐟🐟
小众不拥挤 深度游就选福井
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000013,,九月九的酒,false,小众旅行体验 福井比京都更清净,2月前,河南,0,,,98,102,"九月九的酒头像
九月九的酒
小众旅行体验 福井比京都更清净
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000014,,非流亥,false,福井历史博物馆 了解过去超有料,2月前,河南,0,,,106,110,"非流亥头像
非流亥
福井历史博物馆 了解过去超有料
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000015,,小萌萌,false,隐藏打卡点全公开，朋友圈独特不撞款,2月前,江苏,0,,,114,118,"小萌萌头像
小萌萌
隐藏打卡点全公开，朋友圈独特不撞款
2月前·江苏
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000016,,云朵。,false,福井海边民宿 听浪入眠超安心,2月前,福建,0,,,122,126,"云朵。头像
云朵。
福井海边民宿 听浪入眠超安心
2月前·福建
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000017,,坎坎坷坷,false,福井小众秘境 藏着关西最美海,2月前,山东,0,,,130,134,"坎坎坷坷头像
坎坎坷坷
福井小众秘境 藏着关西最美海
2月前·山东
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000018,,小月月122,false,交通券攻略超详细，省钱又省心,2月前,河南,0,,,138,142,"小月月122头像
小月月122
交通券攻略超详细，省钱又省心
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000019,,霖鑫,false,古建保存完好，沉浸式感受日本历史,2月前,江西,0,,,146,150,"霖鑫头像
霖鑫
古建保存完好，沉浸式感受日本历史
2月前·江西
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000020,,欣欣❤,false,福井旅行住宿 多样选择超合适,2月前,江西,0,,,154,158,"欣欣❤头像
欣欣❤
福井旅行住宿 多样选择超合适
2月前·江西
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000021,,su小贝,false,JR 福井周边游 景点密集超省时,2月前,河南,0,,,162,166,"su小贝头像
su小贝
JR 福井周边游 景点密集超省时
2月前·河南
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
comment_000022,,幂幂小宝,false,海边小镇漫步 时光变慢超舒服,2月前,河北,0,,,170,174,"幂幂小宝头像
幂幂小宝
海边小镇漫步 时光变慢超舒服
2月前·河北
0",medium,post_id_unavailable_in_export;local_record_id_not_platform_comment_id
